neighbourhood_group,neighbourhood,latitude,longitude
Manhattan,Little Italy,40.71880008264461,-73.99722909090909
Manhattan,Lower East Side,40.718386871569656,-73.98781817782643
Manhattan,Marble Hill,40.875740833333346,-73.91103833333334
Manhattan,Midtown,40.75487114563112,-73.97582011003233
Manhattan,Morningside Heights,40.8083416473989,-73.96175826589595
Manhattan,Murray Hill,40.747434639175275,-73.97602859793805
Manhattan,NoHo,40.727009871794884,-73.99305166666666
Manhattan,Nolita,40.72214565217392,-73.99508252964422
Manhattan,Roosevelt Island,40.763282987013,-73.94855610389612
Manhattan,SoHo,40.724379553072616,-74.00202427374298
Manhattan,Stuyvesant Town,40.73183891891893,-73.97830351351352
Manhattan,Theater District,40.7598365625,-73.98549086805563
Manhattan,Tribeca,40.71774378531074,-74.00740011299436
Manhattan,Two Bridges,40.711727222222216,-73.99578013888889
Manhattan,Upper East Side,40.77274807007786,-73.9547396607343
Manhattan,Upper West Side,40.788462602739685,-73.97373466260781
Manhattan,Washington Heights,40.84449530589541,-73.93836130144605
Manhattan,West Village,40.73435113281246,-74.00407789062497
Queens,Arverne,40.59185298701299,-73.79483909090911
Queens,Astoria,40.76429915555556,-73.9200017666667
Queens,Bay Terrace,40.78066333333333,-73.78305
Queens,Bayside,40.759776153846154,-73.76862512820513
Queens,Bayswater,40.60571823529412,-73.7625823529412
Queens,Belle Harbor,40.57615125,-73.84904499999998
Queens,Bellerose,40.73111142857142,-73.7263957142857
Queens,Breezy Point,40.56573,-73.86990333333334
Queens,Briarwood,40.70975517857143,-73.81381392857145
Queens,Cambria Heights,40.69378230769232,-73.7359203846154
Queens,College Point,40.784802631578934,-73.84378736842105
Queens,Corona,40.7429009375,-73.86100015624999
Queens,Ditmars Steinway,40.7750295145631,-73.91055352750806
Queens,Douglaston,40.75964125,-73.73612625
Queens,East Elmhurst,40.762783675675685,-73.87868027027021
Queens,Edgemere,40.59467545454545,-73.77372818181817
Queens,Elmhurst,40.73993611814346,-73.87870569620247
Queens,Far Rockaway,40.59740862068965,-73.75450620689654
Queens,Flushing,40.75488396713615,-73.81951089201878
Queens,Forest Hills,40.721642777777774,-73.84672479166669
Queens,Fresh Meadows,40.73907343750001,-73.78874687499999
Queens,Glendale,40.70078425925927,-73.8892062962963
Queens,Hollis,40.71452,-73.76707642857143
Queens,Holliswood,40.7224525,-73.77063000000003
Queens,Howard Beach,40.66145099999999,-73.845106
Queens,Jackson Heights,40.75174322580646,-73.88153715053762
Queens,Jamaica,40.68504584415585,-73.78834991341992
Queens,Jamaica Estates,40.718346315789475,-73.79042
Queens,Jamaica Hills,40.71358875,-73.7985025
Queens,Kew Gardens,40.708301562500026,-73.830565
Queens,Kew Gardens Hills,40.72442961538461,-73.81922884615386
Queens,Laurelton,40.67529277777777,-73.74460055555556
Queens,Little Neck,40.764697999999996,-73.73001200000002
Queens,Long Island City,40.752451862197425,-73.93820013035374
Queens,Maspeth,40.72969899999999,-73.89991899999997
Queens,Middle Village,40.716305806451615,-73.87912548387098
Queens,Neponsit,40.57063,-73.85921666666665
Queens,Ozone Park,40.681238870967725,-73.84736258064515
Queens,Queens Village,40.71459383333333,-73.7431536666667
Queens,Rego Park,40.726804622641524,-73.86168273584907
Queens,Richmond Hill,40.693984574468075,-73.83000361702126
Queens,Ridgewood,40.70407765957445,-73.90590231678496
Queens,Rockaway Beach,40.58743357142856,-73.8137830357143
Queens,Rosedale,40.65946898305084,-73.7344561016949
Queens,South Ozone Park,40.67225925000001,-73.80421799999998
Queens,Springfield Gardens,40.66768988235295,-73.76242811764703
Queens,St. Albans,40.69566763157895,-73.76206763157894
Queens,Sunnyside,40.74241371900826,-73.92070933884297
Queens,Whitestone,40.78423818181818,-73.81864999999998
Queens,Woodhaven,40.69196772727275,-73.8582325
Queens,Woodside,40.74592502127664,-73.9027229787234
Staten Island,Arden Heights,40.552409999999995,-74.1822525
Staten Island,Arrochar,40.59389952380953,-74.07460047619048
Staten Island,"Bay Terrace, Staten Island",40.551435,-74.140495
Staten Island,Bull's Head,40.60115,-74.16637166666669
Staten Island,Castleton Corners,40.6171025,-74.1230075
Staten Island,Clifton,40.619166,-74.08156133333334
Staten Island,Concord,40.60201192307692,-74.08418653846151
Staten Island,Dongan Hills,40.580395714285714,-74.09334142857143
Staten Island,Eltingville,40.54104333333333,-74.15436333333334
Staten Island,Emerson Hill,40.607162,-74.12801
Staten Island,Fort Wadsworth,40.59546,-74.06092
Staten Island,Graniteville,40.62283,-74.16575333333334
Staten Island,Grant City,40.57893,-74.10933
Staten Island,Great Kills,40.549969,-74.14480699999999
Staten Island,Grymes Hill,40.61484857142858,-74.09376285714286
Staten Island,Howland Hook,40.631295,-74.17262
Staten Island,Huguenot,40.53946666666667,-74.17168000000001
Staten Island,Lighthouse Hill,40.576795000000004,-74.13456
Staten Island,Mariners Harbor,40.63317874999999,-74.15921625
Staten Island,Midland Beach,40.57369666666667,-74.09532499999997
Staten Island,New Brighton,40.642608,-74.092958
Staten Island,New Dorp,40.57044000000001,-74.11747
Staten Island,New Dorp Beach,40.564828000000006,-74.102124
Staten Island,New Springville,40.5845125,-74.15781
Staten Island,Oakwood,40.560512,-74.1186
